title,duration,duration_numeric
Dick Johnson Is Dead,90 min,90.0
My Little Pony: A New Generation,91 min,91.0
Sankofa,125 min,125.0
The Starling,104 min,104.0
Je Suis Karl,127 min,127.0
Confessions of an Invisible Girl,91 min,91.0
Europe's Most Dangerous Man: Otto Skorzeny in Spain,67 min,67.0
Intrusion,94 min,94.0
Avvai Shanmughi,161 min,161.0
Go! Go! Cory Carson: Chrissy Takes the Wheel,61 min,61.0
Jeans,166 min,166.0
Minsara Kanavu,147 min,147.0
Grown Ups,103 min,103.0
Dark Skies,97 min,97.0
Paranoia,106 min,106.0
Ankahi Kahaniya,111 min,111.0
The Father Who Moves Mountains,110 min,110.0
The Stronghold,105 min,105.0
Birth of the Dragon,96 min,96.0
Jaws,124 min,124.0
Jaws 2,116 min,116.0
Jaws 3,98 min,98.0
Jaws: The Revenge,91 min,91.0
My Heroes Were Cowboys,23 min,23.0
Safe House,115 min,115.0
Training Day,122 min,122.0
InuYasha the Movie 2: The Castle Beyond the Looking Glass,99 min,99.0
InuYasha the Movie 3: Swords of an Honorable Ruler,99 min,99.0
InuYasha the Movie 4: Fire on the Mystic Island,88 min,88.0
InuYasha the Movie: Affections Touching Across Time,100 min,100.0
Naruto Shippuden the Movie: Blood Prison,102 min,102.0
Naruto Shippûden the Movie: Bonds,93 min,93.0
Naruto Shippûden the Movie: The Will of Fire,96 min,96.0
Naruto Shippuden: The Movie,95 min,95.0
Naruto Shippuden: The Movie: The Lost Tower,85 min,85.0
Naruto the Movie 2: Legend of the Stone of Gelel,97 min,97.0
Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,95 min,95.0
Naruto the Movie: Ninja Clash in the Land of Snow,83 min,83.0
Nightbooks,103 min,103.0
Schumacher,113 min,113.0
A StoryBots Space Adventure,13 min,13.0
King of Boys,182 min,182.0
You vs. Wild: Out Cold,106 min,106.0
Little Singham - Black Shadow,48 min,48.0
Tughlaq Durbar,145 min,145.0
Tughlaq Durbar (Telugu),145 min,145.0
Firedrake the Silver Dragon,93 min,93.0
Kate,106 min,106.0
Omo Ghetto: the Saga,147 min,147.0
Prey,87 min,87.0
Blood Brothers: Malcolm X & Muhammad Ali,96 min,96.0
Paradise Hills,95 min,95.0
The Women and the Murderer,92 min,92.0
JJ+E,91 min,91.0
Show Dogs,90 min,90.0
If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,97 min,97.0
Untold: Breaking Point,80 min,80.0
Shadow Parties,117 min,117.0
Angamaly Diaries,128 min,128.0
A Champion Heart,90 min,90.0
Worth,119 min,119.0
Afterlife of the Party,110 min,110.0
Anjaam,143 min,143.0
Bright Star,119 min,119.0
Dhanak,114 min,114.0
Final Account,94 min,94.0
Gurgaon,106 min,106.0
Here and There,99 min,99.0
In the Cut,118 min,118.0
Shikara,115 min,115.0
A Cinderella Story,95 min,95.0
Agatha Christie's Crooked House,115 min,115.0
An Unfinished Life,108 min,108.0
Barbie Big City Big Dreams,63 min,63.0
Blade Runner: The Final Cut,117 min,117.0
Chappie,121 min,121.0
Clear and Present Danger,142 min,142.0
Cliffhanger,113 min,113.0
Cold Mountain,154 min,154.0
Crocodile Dundee in Los Angeles,95 min,95.0
Dear John,108 min,108.0
Do the Right Thing,120 min,120.0
"El patrón, radiografía de un crimen",100 min,100.0
Extraction,82 min,82.0
Freedom Writers,124 min,124.0
Green Lantern,114 min,114.0
House Party,104 min,104.0
House Party 2,94 min,94.0
House Party 3,94 min,94.0
I Got the Hook Up,93 min,93.0
In Too Deep,97 min,97.0
Initial D,109 min,109.0
Janoskians: Untold and Untrue,88 min,88.0
Labyrinth,101 min,101.0
Letters to Juliet,105 min,105.0
Level 16,102 min,102.0
Love Don't Cost a Thing,101 min,101.0
Love in a Puff,103 min,103.0
Mars Attacks!,106 min,106.0
Marshall,118 min,118.0
My Boss's Daughter,86 min,86.0
Mystery Men,121 min,121.0
Once Upon a Time in America,229 min,229.0
Open Season 2,76 min,76.0
Osmosis Jones,95 min,95.0
Poseidon,98 min,98.0
Rhyme & Reason,89 min,89.0
Same Kind of Different as Me,120 min,120.0
School of Rock,110 min,110.0
Snervous Tyler Oakley,83 min,83.0
Tears of the Sun,121 min,121.0
The Blue Lagoon,105 min,105.0
The Golden Child,94 min,94.0
The Guns of Navarone,156 min,156.0
The Interview,112 min,112.0
The Nutty Professor,95 min,95.0
The Nutty Professor II: The Klumps,107 min,107.0
Welcome Home Roscoe Jenkins,114 min,114.0
In the Line of Fire,129 min,129.0
Untold: Crime & Penalties,86 min,86.0
2 Alone in Paris,97 min,97.0
Thimmarusu,125 min,125.0
Wind River,107 min,107.0
C Kkompany,127 min,127.0
EMI: Liya Hai To Chukana Padega,128 min,128.0
He's All That,92 min,92.0
Koi Aap Sa,135 min,135.0
Krishna Cottage,124 min,124.0
Kucch To Hai,136 min,136.0
Kyaa Kool Hai Hum,165 min,165.0
Kyaa Kool Hain Hum 3,124 min,124.0
Kyaa Super Kool Hain Hum,136 min,136.0
Kyo Kii... Main Jhuth Nahin Bolta,150 min,150.0
"LSD: Love, Sex Aur Dhokha",112 min,112.0
Mission Istaanbul: Darr Ke Aagey Jeet Hai,119 min,119.0
Once Upon a Time in Mumbaai,133 min,133.0
Once Upon a Time in Mumbai Dobaara!,142 min,142.0
Ragini MMS,93 min,93.0
Ragini MMS 2,113 min,113.0
SAS: Rise of the Black Swan,124 min,124.0
Shootout at Lokhandwala,116 min,116.0
Shor In the City,106 min,106.0
The Dirty Picture,145 min,145.0
"Bob Ross: Happy Accidents, Betrayal & Greed",93 min,93.0
Really Love,95 min,95.0
The November Man,108 min,108.0
The Old Ways,90 min,90.0
The River Runner,86 min,86.0
The Water Man,92 min,92.0
Count Me In,82 min,82.0
Untold: Caitlyn Jenner,70 min,70.0
Boomika,122 min,122.0
Boomika (Hindi),122 min,122.0
Boomika (Malayalam),122 min,122.0
Boomika (Telugu),122 min,122.0
The Witcher: Nightmare of the Wolf,84 min,84.0
Gunshot,96 min,96.0
Man in Love,115 min,115.0
Sweet Girl,110 min,110.0
The Loud House Movie,88 min,88.0
A Faraway Land,102 min,102.0
Like Crazy,91 min,91.0
Black Island,105 min,105.0
Bombay,135 min,135.0
Memories of a Murderer: The Nilsen Tapes,86 min,86.0
Nneka The Pretty Serpent,140 min,140.0
O Kadhal Kanmani,133 min,133.0
Out of my league,92 min,92.0
Pahuna,82 min,82.0
The Secret Diary of an Exchange Student,97 min,97.0
Untold: Deal With the Devil,78 min,78.0
Walk of Shame,94 min,94.0
The Piano,121 min,121.0
Unroyal,97 min,97.0
Beckett,110 min,110.0
Lokillo: Nothing's the Same,64 min,64.0
Monster Hunter: Legends of the Guild,59 min,59.0
Brother Jekwu,101 min,101.0
La diosa del asfalto,127 min,127.0
Misha and the Wolves,90 min,90.0
The Kissing Booth 3,114 min,114.0
The Railway Man,108 min,108.0
Untold: Malice at the Palace,70 min,70.0
Quartet,98 min,98.0
Slay,86 min,86.0
Takizawa Kabuki ZERO 2020 The Movie,139 min,139.0
The Paper Tigers,111 min,111.0
Quam's Money,115 min,115.0
The Swarm,102 min,102.0
Vivo,100 min,100.0
Chennai Express,135 min,135.0
City of God: 10 Years Later,69 min,69.0
Esperando la carroza,95 min,95.0
Lady Boss: The Jackie Collins Story,97 min,97.0
Tango Feroz,124 min,124.0
'76,118 min,118.0
Aftermath,115 min,115.0
American Masters: Inventing David Geffen,115 min,115.0
Heavy,104 min,104.0
Ije: The Journey,106 min,106.0
Pray Away,102 min,102.0
Shiny_Flakes: The Teenage Drug Lord,97 min,97.0
Beethoven,87 min,87.0
Beethoven's 2nd,88 min,88.0
Beowulf,114 min,114.0
Boyka: Undisputed,90 min,90.0
Catch Me If You Can,142 min,142.0
Cloudy with a Chance of Meatballs,90 min,90.0
Deep Blue Sea,105 min,105.0
Ferris Bueller's Day Off,103 min,103.0
Five Feet Apart,116 min,116.0
Freedomland,113 min,113.0
Good Luck Chuck,99 min,99.0
I missed you: Director's Cut,96 min,96.0
Inception,148 min,148.0
Magnolia,189 min,189.0
Major Payne,97 min,97.0
My Girl,102 min,102.0
My Girl 2,99 min,99.0
Open Season: Scared Silly,85 min,85.0
Pineapple Express,112 min,112.0
Planet 51,91 min,91.0
Poms,91 min,91.0
Seabiscuit,141 min,141.0
Space Cowboys,130 min,130.0
Team America: World Police,98 min,98.0
The Edge of Seventeen,105 min,105.0
The Haunting in Connecticut 2: Ghosts of Georgia,101 min,101.0
The Last Boy Scout,105 min,105.0
